gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE101601,GSM2709011,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709012,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709013,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709014,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709015,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709016,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709017,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709018,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709019,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709020,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709021,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709022,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709023,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709024,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709025,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709026,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709027,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709028,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709029,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709030,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709031,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709032,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709033,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709034,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709035,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709036,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709037,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709038,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709039,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709040,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709041,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709042,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709043,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709044,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709045,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709046,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709047,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709048,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709049,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709050,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709051,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709052,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709053,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709054,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709055,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709056,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709057,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
